و	، را که از در به آن او شما برای بر پس خود گردآوری بدرقه
پذیرد	عمره بخشد نزدیکتر اجلشان داده_شوند زوال خیر بیمار گویید دهم پیروز داشته_باشد صدمه‌ای نمی‌رسانند انجام‌شدنی
کارم	کشور پسری گردانیده‌اید پسرک ان نمی‌خواهم شریک شا نپرستید همسرش گردانی من همپای ملحق دریافت
سد	ناگاه کوه جان‌ها اجلشان احد سالی گوسفندان هزار رشد کوه‌آسا موجی گنجی فرا خطاب حد
مس	گداخته ریختیم آهن لنگر رهسپار مقام بمانید درآوریم بساز خاکستر دیده دوازده مردیم امان بارانی
گداخته	مس نشانه‌ها موجود آهن برایم بی‌درنگ دمیده فرمانروایی صور بترسد سوره‌ای روان بمانید می‌توانید پوست
برایم	گداخته آورده‌ام بساز خانه‌ای مقربان ویژه مقدس مس اراده گفت سبا شخص دراز آقای ملکه
آهسته	اشاره زنش ناپدید نمی‌کرد نمود ش‌ می‌گردد چراغی رهانید وادی دوان رود مقدس گفته_می‌شود اندک
جست	توانید پیشی سبقت نتوانند گرفته_است نیابند جویند جویید نخواهند_شد موعدی آویخته نبوده‌ایم نشسته‌اند یافتیم نخواهیم_شد
بیهوده‌ای	می‌شنوند نمی‌شنوند آنجا عجب نمی‌توانی جاودانه ستدی تشنه محقق ساعتی گریزی گرسنگی یاوه واگذارید بروند
شیطان‌ها	بگویند ندانستی دادی خنده می‌برم برادرم نشده_است الها مکن ساخته_است می‌گفتند الله گناهکاری نیاوردند زندان
بیاورم	سحر آورده‌ام نصرانی نخواهد_کرد خدایانمان دریابند یابید بیاور کافی سقر می‌دانی شماست بربافتد زندگانی نمازگزاران
وادی	مقدس برمی‌آید درداد بیفکن زکریا خواند جایگاه عصایت دریابند معجزه‌ای سایه عصای نادانان ندا نادان
شمایم	می‌بینم نپرستید بپرستند توست کردار بپرستید شده‌ام نمی‌گویم مپرستید هستم نیستم بیگزارم نمی‌بینید نرسیده شماست
درخور	شریکی خواندن پایدار کژی باده‌ای آمدنی علم می‌شمارند محفوظ بوده فرمانروای گردانیده مردگان دشواری خواهان
پنداشت	رفت ناگهان نمایان سیاه بیفکن بلعید دیدی ملکه نمود گریبان شروع می پسرانشان چشم‌ها هود
موعد	گردآوری چندی سازی معلوم برایش معین رهسپار بسیج چهره‌هایی ملکه نیل پاکیزه‌ای پرسند می‌آورد درمی‌دهد
می‌خواهی	تخت بیازماییم سوره کدام ندانسته‌اند تازه عشیره مساجد نعمت‌های سالی تأخیر بنگرد نوبت می‌بریم کودکی
والا	درجات بی‌منت کامیابی پاداشی شایسته‌تر خواهند_داشت درد خفت‌آور زودشمار جایگاه‌های پاداشش آمرزشی رسوایی می‌بخشاید نهفته
صحیفه‌های	نوشته‌ها قبلاً پیشین احکام سینه‌هایشان ماجرای کتاب‌های کتابی تصدیق‌کننده آمده‌ای اسباط پدران ماجرا موجب اخبار
رویگردانند	رخصت برده‌اند باده‌ای ملاقات تمامی آماده می‌آورند خشمی جلوه تیره‌بخت آراسته شکنجه احضار داناتریم پنداشته‌اند
شاعری	بربافتد دیوانه نصرانی کمتر دروغی کافی افسانه‌های جنونی مشرق نه بیش نگردد مغرب بنگرند نبودیم
جاویدان	جویبارها رودها خرما درختان پرنیان انگور میوه‌ای مواد جوی‌ها گردند جفت سبز پذیرایی استفاده بدیهایشان
نیافریدیم	یافته فرموده شده‌اند محروم بی‌مقدار داستان بشکافد ابری همچنین شنیدن هنگام ندیده‌ای برخورداری شده‌اید قرارگاه
ناگهانی	نیمروز حدس دستش کنار برافراشتیم بی‌خبرند همیشگی جان‌ها رسانیدیم سرشان درآمدند کامل بلعید باغ‌های سرگرمند
داده_شوند	هراسانند داده_شده_بودند پند کر داده_می‌شوند دهم مباشید داده_شود داشته‌ایم بازخواهیم بی‌آنکه شاد حسرت پروردگارش کمی
گوسفندان	دام‌های سد عادل باشند مدت کامل چندان رسیدند یتیم می‌رسد بادیه‌نشین میوه‌ای نوبت خواب آیندگان
مگذار	مطلب منزهی خواهی_یافت پاکدل گویا نمی‌خواهم دانشی می‌نهند بندگان قادر آیین نکنید گر مادرم بی‌هیچ
سودش	می‌رساند سودشان اجلشان می‌دادند گشایشگر گرسنگی بیراه زندگان نمی‌دانید نمی‌دهد می‌آفریند صدمه‌ای گاوی وجه پیر
می‌چشانیم	می‌رسانند خواهند_داشت عذابی خفت‌آور خواهد_آمد شکنجه بچشانیم هراسانند دردناک سهمگین خواهد_بود رسوایش دروغگویند حسابی خواهند_شد
تواناییم	بدانان می‌دانیم فرجامی همان‌گونه وعده درگذرد گذشته پرهیزگاران صبر معجزات می‌رانیم خواهند_گفت شنوا دیدار نمی‌آورد
اعتقاد	نداریم تغییری نخواهی_یافت مشغول شمردند گروندگان رسانیدیم لقای بخوانند سنت دروغگویانند یاوری می‌پرستیدند کافرند خالص
پشیمان	پرسش شکنجه سرکشی لی برمی‌تابند غرق همان‌گونه می‌گرفتند اقرار برمی‌بافتند شوید شدید احضار رویگردان می‌شدند
مطالبه	مزدی خواهیم_شد تعجب خدایانمان دلهایتان خواهیم_بود یافته‌اید جدید بپرسی تعقل ملاحظه نکنی گم اراده خواهند_گفت
اینجا	شرط بیگزارم عشیره برگشت بمانید درآی زده_است بیندازید سینه مصر الها اطلاع بپرستید آورم گفت
حسابش	می‌جویند کرم شایسته‌ای شماره چراغی آورده_است کار می‌آید افزون رسوایش میوه‌اش داشته مؤمنانی نمودید سبز
تازیانه	بزنید زناکار برادرانتان سازش برده‌اند مشرک می‌برید زد مردند نمی‌آورند بزن چهار می‌ستانند بریده روزه
مجازات	ی‌ کارهایی نشوید خجسته رساند می‌دادند بازخواست واقعه خواهند_یافت کیفر فردا زودشمار پذیرایی بزرگتر بد
بامداد	آفتاب رفتن خورشید برآمدن می‌آورید نیمروز مرگبار فریاد سایر صبح شبانگاه آمدن سجده درافتادند نعمت‌های
سایه	هشدارداده‌شدگان گاوی نیافتی نطفه زرد بنگرید وادی غروب توانید خورشید برآمدن روشنایی درداد اندوهناک بگردید
نمی‌دهند	بسته‌ایم می‌دارند خواهد_رسید می‌دهند غافلند می‌بینند می‌خوانند دادید یکدیگرند گزند حدس کسانی‌اند ورزیده مبر می‌دهیم
بزرگواری	فرشتگان‌ داوران شکست‌ناپذیر صفات بشر آری می‌پندارد قادر حکیم گوی کامیابی اعتمادم اول برتر فرمانروای
